epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,426.2,1.80008,1.37376,1.26207,0.58083,0.59214,0.59894,0.26117,1.8574,1.433,1.33228,0.0012862,0.0012862,0.0012862
43,436.162,1.80724,1.37417,1.25957,0.51739,0.48122,0.47652,0.1754,1.98113,1.63929,1.38639,0.0012562,0.0012562,0.0012562
44,446.137,1.77065,1.33813,1.24355,0.61731,0.58183,0.61724,0.27331,1.88249,1.41497,1.36283,0.00122596,0.00122596,0.00122596
45,456.111,1.78498,1.32705,1.26551,0.6198,0.57519,0.6051,0.26773,1.91544,1.48554,1.38459,0.00119551,0.00119551,0.00119551
46,466.039,1.76915,1.32281,1.23247,0.57579,0.56901,0.57622,0.25261,1.92245,1.48896,1.38034,0.00116487,0.00116487,0.00116487
47,475.886,1.76462,1.29412,1.24957,0.63075,0.58515,0.62123,0.27529,1.81782,1.39538,1.34116,0.00113408,0.00113408,0.00113408
48,485.784,1.76068,1.34076,1.27537,0.60893,0.60515,0.61616,0.27031,1.83989,1.39346,1.33498,0.00110317,0.00110317,0.00110317
49,495.53,1.75897,1.3113,1.24604,0.60749,0.63057,0.62905,0.27736,1.82371,1.3856,1.33235,0.00107216,0.00107216,0.00107216
50,505.533,1.74369,1.33371,1.24816,0.62231,0.59738,0.62526,0.27989,1.83569,1.41257,1.3279,0.0010411,0.0010411,0.0010411
51,515.988,1.74538,1.30458,1.23679,0.61002,0.64716,0.65004,0.28558,1.84334,1.43278,1.31573,0.00101,0.00101,0.00101
52,526.709,1.78008,1.2808,1.23104,0.62601,0.62271,0.61865,0.25655,1.85081,1.48431,1.33785,0.000978903,0.000978903,0.000978903
53,537.667,1.76463,1.30221,1.22996,0.58597,0.61061,0.59275,0.25469,1.85668,1.4043,1.35236,0.000947837,0.000947837,0.000947837
54,548.035,1.73438,1.31108,1.22386,0.63525,0.6,0.63008,0.28228,1.81476,1.37745,1.31967,0.000916833,0.000916833,0.000916833
55,558.768,1.71605,1.25072,1.22133,0.63145,0.59127,0.62149,0.2713,1.85052,1.42918,1.34064,0.00088592,0.00088592,0.00088592
56,568.852,1.69225,1.23165,1.21409,0.64039,0.6,0.62734,0.2856,1.85537,1.3751,1.36239,0.00085513,0.00085513,0.00085513
57,579.07,1.73602,1.25018,1.26141,0.63066,0.61143,0.63565,0.27936,1.89886,1.38998,1.36468,0.000824492,0.000824492,0.000824492
58,591.079,1.7243,1.24303,1.22374,0.62754,0.62831,0.61785,0.27808,1.80568,1.46526,1.32781,0.000794038,0.000794038,0.000794038
59,601.649,1.71702,1.23579,1.2047,0.65373,0.60873,0.65869,0.30264,1.79679,1.33359,1.30351,0.000763797,0.000763797,0.000763797
60,612.48,1.68427,1.20704,1.21153,0.6468,0.58695,0.62086,0.27542,1.93412,1.35629,1.38989,0.000733799,0.000733799,0.000733799
61,622.678,1.68466,1.2172,1.2164,0.66098,0.60279,0.65774,0.29444,1.83916,1.33991,1.3388,0.000704073,0.000704073,0.000704073
62,632.913,1.68355,1.19518,1.20568,0.65603,0.58967,0.64829,0.29088,1.85547,1.34037,1.33664,0.000674649,0.000674649,0.000674649
63,643.077,1.66621,1.20797,1.19968,0.63202,0.65415,0.67561,0.30021,1.84295,1.31235,1.32805,0.000645557,0.000645557,0.000645557
64,654.167,1.67417,1.2203,1.21067,0.64696,0.60699,0.65274,0.2947,1.84673,1.31996,1.35678,0.000616824,0.000616824,0.000616824
